PVC_Nr,Batch,Subject,Sow,L_w,R_w,L_t,R_t,L_f,R_f,LI_w,z_score_w,bias_w,LI_f,z_score_f,bias_f,LI_t,z_score_t,bias_t,Test_Nr,elim_freq,expl_dur,expl_freq,head_invisible,jump_freq,knee_dur,knee_freq,locom_dur,locom_freq,no_expl_dur,no_expl_freq,stand_dur,stand_freq,OFT_voc_freq,sit_ly_freq,expl_obj_dur,expl_obj_freq,NOT_inter_voc_dur,lat_expl_obj_dur,no_expl_obj_dur,no_expl_obj_freq,chew_dur,chew_freq,expl_wob_dur,expl_wob_freq,freez_dur,freez_freq,BIBAGO_inter_voc_dur,expl_wob_lat,no_expl_wob_dur,no_expl_wob_freq,BIBAGO_voc_freq,wob_open
8612,4,9,781,43,44,0,52,67,0,0.0114942528735632,0.107211253483779,A,-1,-8.18535277187245,L,1,7.21110255092798,R,2,3,122.919,18,0,0,0,0,90.498,28,147.045,19,179.446,29,33,0,58.892,7,21.17,8.67,202.427,7,5.907,2,17.642,6,19.737,5,5.868,8.669,243.678,6,51,0
8620,4,7,774,27,63,NA,NA,0,74,0.4,3.79473319220206,R,1,8.60232526704263,R,NA,NA,NA,2,6,73.241,15,3.497,0,0,0,58.027,14,196.729,16,211.945,15,22,0,12.001,3,22.098,33.699,224.295,3,7.819,4,93.439,13,4.252,1,16.657,24.607,151.929,13,22,0
8623,6,11,775,39,48,7,5,69,0,0.103448275862069,0.964901281354015,A,-1,-8.30662386291807,L,NA,NA,NA,2,4,NA,NA,19.746,0,0,0,88.586,17,227.288,11,181.38,18,15,0,76.086,7,8.559,3.056,190.846,6,49.868,13,105.137,13,10.756,3,0,6.026,158.814,13,13,0
8641,4,4,739,35,43,78,0,72,0,0.102564102564103,0.905821627315677,A,-1,-8.48528137423857,L,-1,-8.83176086632785,L,2,2,NA,NA,13.499,0,0,0,85.96,32,256.793,5,183.976,33,59,0,4.688,5,14.419,1.178,264.125,5,0,0,37.297,7,21.449,6,0,46.866,185.824,7,71,0
8646,4,11,781,19,37,0,64,73,0,0.321428571428571,2.40535117721182,R,-1,-8.54400374531753,L,1,8,R,2,3,NA,NA,7.196,0,0,0,41.741,14,165.639,16,228.231,15,35,0,60.137,8,24.604,112.054,97.795,7,0,0,16.287,5,11.995,3,0.624,32.278,221.426,5,108,0
8653,6,4,728,17,7,42,33,0,75,NA,NA,NA,1,8.66025403784439,R,-0.12,-1.03923048454133,A,2,2,NA,NA,14.755,0,0,0,54.839,23,256.449,4,215.115,24,84,0,35.897,4,3.077,2.827,231.269,4,0,0,5.994,6,27.761,7,18.712,29.904,234.091,6,69,0
8670,4,5,743,51,12,31,48,0,74,-0.619047619047619,-4.91353814911995,L,1,8.60232526704263,R,0.215189873417722,1.91264943157424,A,2,7,NA,NA,32.253,0,0,0,76.087,28,252.742,7,193.859,27,72,0,1.001,1,20.023,252.029,16.969,1,0,0,0.848,2,3.748,1,0,12.244,256.905,2,126,0
8672,6,8,813,30,51,35,42,0,70,0.259259259259259,2.33333333333333,R,1,8.36660026534076,R,0.0909090909090909,0.797724035217466,A,2,5,NA,NA,18.495,0,0,0,54.08,14,113.68,15,215.894,13,38,0,89.688,4,20.35,24.354,155.952,3,34.928,11,72.339,9,4.501,1,3.402,4.951,192.694,8,17,0
8696,4,14,743,13,77,78,1,74,0,0.711111111111111,6.74619234169254,R,-1,-8.60232526704263,L,-0.974683544303797,-8.66317683713038,L,2,0,NA,NA,22.152,0,0,0,112.972,30,181.433,20,156.968,31,135,0,109.793,6,4.774,34.626,125.57,6,6.805,3,90.141,7,0,0,2.407,14.459,165.387,7,43,0
8706,4,6,588,32,54,13,47,0,74,0.255813953488372,2.37232101047565,R,1,8.60232526704263,R,0.566666666666667,4.38938112570174,R,2,0,NA,NA,7.253,0,0,0,87.964,30,247.945,7,181.976,31,71,0,1.494,2,2.96,232.363,36.14,2,2.75,2,31.645,8,7.098,2,0,8.952,229.388,8,56,0
8712,4,3,746,29,35,2,77,0,71,0.09375,0.75,A,1,8.42614977317636,R,0.949367088607595,8.43815925694518,R,2,2,24.691,8,2.499,0,0,0,74.089,23,244.444,9,195.865,24,87,0,0,0,3.078,270,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8745,4,2,746,19,63,73,6,76,0,0.536585365853659,4.85898714729325,R,-1,-8.71779788708135,L,-0.848101265822785,-7.53808893620436,L,2,3,NA,NA,7.003,0,3.997,1,58.481,12,223.474,13,207.497,13,28,0,79.048,5,52.796,112.7,78.243,5,6.746,3,95.455,7,7.253,2,27.384,34.583,139.949,7,6,0
8803,5,5,783,24,17,3,29,18,37,-0.170731707317073,-1.09321633322024,A,0.345454545454545,2.56195947736032,R,0.8125,4.59619407771256,R,2,3,NA,NA,6.903,0,0,0,86.112,27,171.581,17,183.835,27,28,0,27.393,3,20.853,5.206,236.046,3,20.493,8,109.35,6,18.892,4,6.284,28.289,132.35,6,5,0
8828,4,15,762,42,52,1,78,73,0,0.106382978723404,1.03142124625879,A,-1,-8.54400374531753,L,0.974683544303797,8.66317683713038,R,2,3,NA,NA,13.501,0,6.493,3,92.793,24,145.57,20,170.661,27,92,0,120.347,8,57.17,3.921,145.717,8,32.197,9,127.065,10,4.251,1,135.455,32.154,71.168,9,8,1
8831,4,1,733,50,42,78,1,72,0,-0.0869565217391304,-0.834057656228299,A,-1,-8.48528137423857,L,-0.974683544303797,-8.66317683713038,L,2,5,NA,NA,18.503,0,0,0,46.98,16,267.752,2,222.988,17,89,0,28.892,5,27.223,123.93,117.169,5,0,0,4.353,2,22.597,6,0,45.165,220.479,2,68,0
8938,4,12,784,15,56,73,3,0,66,0.577464788732394,4.8658047985948,R,1,8.12403840463596,R,-0.921052631578947,-8.02955068546966,L,2,4,46.355,8,2.252,0,0,0,83.267,24,223.63,8,186.686,24,39,0,73.39,10,6.874,7.976,188.615,10,7.764,5,129.343,11,12.75,3,92.082,2.68,137.956,11,7,0
8971,6,6,806,26,33,3,72,71,0,0.11864406779661,0.911322376865767,A,-1,-8.42614977317636,L,0.92,7.96743371481683,R,2,4,108.991,7,0,0,0,0,45.303,11,160.995,8,224.676,11,51,0,46.334,6,6.311,17.112,206.543,6,56.466,20,85.766,16,3.004,1,0.441,99.592,84.611,16,37,0
9014,5,3,793,28,42,31,1,5,52,0.2,1.67332005306815,A,0.824561403508772,6.22530207820571,R,-0.9375,-5.30330085889911,L,2,0,NA,NA,17.002,0,9.988,3,120.651,30,216.893,16,139.296,33,223,0,5.147,5,1.844,31.849,232.995,5,2.254,1,49.685,13,3.499,1,0,63.907,156.383,13,232,0
9027,5,6,795,11,19,24,7,37,20,0.266666666666667,1.46059348668044,A,-0.298245614035088,-2.25170500701057,L,-0.548387096774194,-3.05329013445517,L,2,3,102.967,15,0,0,0,0,85.133,24,167.003,16,184.821,23,4,0,241.436,5,268.897,9.692,18.863,5,10.845,2,8.044,4,23.456,5,45.707,81.656,180.293,4,19,0
9028,6,18,813,30,25,74,0,0,71,-0.0909090909090909,-0.674199862463242,A,1,8.42614977317636,R,-1,-8.60232526704263,L,2,3,NA,NA,29.251,0,0,0,75.98,26,165.385,13,193.968,27,46,0,85.924,4,8.396,47.148,136.921,4,19.198,9,56.291,16,4.249,1,0,22.892,188.538,15,59,0
9036,5,15,793,33,35,6,25,53,0,0.0294117647058824,0.242535625036333,A,-1,-7.28010988928052,L,0.612903225806452,3.41250073850872,R,2,3,NA,NA,10.004,0,0,0,92.083,24,210.973,13,177.87,24,64,0,23.649,3,15.324,82.976,163.37,3,31.377,16,104.551,15,9.996,3,0,11.064,154.356,15,31,0
9043,5,16,757,36,35,0,32,61,0,-0.0140845070422535,-0.118678165819385,A,-1,-7.81024967590665,L,1,5.65685424949238,R,2,4,29.64,8,0,0,0,0,57.484,18,240.345,8,212.48,19,56,0,13.248,5,5.39,15.736,241.007,5,31.937,10,118.201,8,3.999,1,48.374,12.427,116.61,8,30,0
9069,5,9,801,30,32,6,0,56,0,0.032258064516129,0.254000254000381,A,-1,-7.48331477354788,L,NA,NA,NA,2,4,NA,NA,15.574,1,0,0,78.3,32,225.24,13,191.637,32,20,0,45.498,8,12.902,6.498,217.989,8,24.949,8,48.492,11,15.754,4,18.706,65.108,156.379,11,19,0
9080,5,12,800,11,23,24,8,0,57,0.352941176470588,2.05798302171011,R,1,7.54983443527075,R,-0.5,-2.82842712474619,L,2,4,63.248,11,0,0,0,0,82.426,27,206.73,12,187.521,27,30,0,61.182,8,2.478,10.176,198.627,8,0,0,0,0,34.401,7,31.218,270,0,0,24,0
9089,6,13,806,23,51,73,4,65,0,0.378378378378378,3.25493388482694,R,-1,-8.06225774829855,L,-0.896103896103896,-7.86327977571502,L,2,4,NA,NA,5.249,0,0,0,68.986,15,216.488,10,200.984,16,27,0,69.956,10,13.412,32.66,167.074,10,4.999,2,106.642,10,4.146,1,4.882,9.232,154.107,10,30,0
9095,5,11,801,30,13,21,10,61,0,-0.395348837209302,-2.59247569565428,L,-1,-7.81024967590665,L,-0.354838709677419,-1.97565832229452,L,2,6,NA,NA,14.047,0,0,0,45.747,19,156.838,16,224.216,19,11,0,78.491,7,60.503,37.95,153.547,6,53.55,19,78.537,14,0,0,198.737,28.783,162.653,14,3,0
9100,6,10,772,11,5,34,31,0,65,NA,NA,NA,1,8.06225774829855,R,-0.0461538461538462,-0.372104203767625,A,2,3,NA,NA,39.053,0,0,0,59.325,17,183.037,12,210.641,18,38,0,127.636,7,10.628,16.079,126.272,7,14.5,4,7.345,2,7.248,2,29.184,138.537,124.115,2,16,0
9110,5,7,797,34,18,21,8,57,0,-0.307692307692308,-2.21880078490092,L,-1,-7.54983443527075,L,-0.448275862068966,-2.41403939630167,L,2,6,NA,NA,12.251,0,0,0,67.51,22,229.14,13,202.446,23,32,0,7.241,3,25.456,58.557,204.197,3,11.003,4,46.399,7,4.752,1,6.207,48.304,175.284,7,40,0
9112,5,18,672,NA,NA,29,3,NA,NA,NA,NA,NA,NA,NA,NA,-0.8125,-4.59619407771256,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
