Subject,Batch,PVC_Nr,Sow,L_w,R_w,L_t,R_t,L_f,R_f,LI_w,z_score_w,bias_w,LI_f,z_score_f,bias_f,LI_t,z_score_t,bias_t
13,1,7765,721,28,40,77,0,0,72,0.176470588235294,1.455213750218,A,1,8.48528137423857,R,-1,-8.77496438739212,L
13,2,9,751,57,38,75,1,63,0,-0.2,-1.94935886896179,A,-1,-7.93725393319377,L,-0.973684210526316,-8.48838215321078,L
13,4,8587,588,13,18,49,27,0,70,0.161290322580645,0.898026510133875,A,1,8.36660026534076,R,-0.289473684210526,-2.52357307257618,L
13,5,9130,795,20,23,10,13,56,0,0.0697674418604651,0.457495710997814,A,-1,-7.48331477354788,L,NA,NA,NA
13,6,9089,806,23,51,73,4,65,0,0.378378378378378,3.25493388482694,R,-1,-8.06225774829855,L,-0.896103896103896,-7.86327977571502,L
14,1,7712,713,32,39,0,76,0,75,0.0985915492957746,0.830747160735697,A,1,8.66025403784439,R,1,8.71779788708135,R
14,2,15,747,40,37,68,6,0,68,-0.038961038961039,-0.341881729378914,A,1,8.24621125123532,R,-0.837837837837838,-7.2073536021168,L
14,4,8696,743,13,77,78,1,74,0,0.711111111111111,6.74619234169254,R,-1,-8.60232526704263,L,-0.974683544303797,-8.66317683713038,L
14,5,7848,766,17,34,29,3,0,61,0.333333333333333,2.38047614284762,R,1,7.81024967590665,R,-0.8125,-4.59619407771256,L
14,6,8596,810,29,13,77,0,70,0,-0.380952380952381,-2.46885359939347,L,-1,-8.36660026534076,L,-1,-8.77496438739212,L
15,1,7804,693,37,47,65,0,0,76,0.119047619047619,1.09108945117996,A,1,8.71779788708135,R,-1,-8.06225774829855,L
15,2,19,680,29,32,60,14,47,0,0.0491803278688525,0.384110639798688,A,-1,-6.85565460040104,L,-0.621621621621622,-5.34739138221569,L
15,4,8828,762,42,52,1,78,73,0,0.106382978723404,1.03142124625879,A,-1,-8.54400374531753,L,0.974683544303797,8.66317683713038,R
15,5,9036,793,33,35,6,25,53,0,0.0294117647058824,0.242535625036333,A,-1,-7.28010988928052,L,0.612903225806452,3.41250073850872,R
15,6,9135,809,50,40,67,6,0,68,-0.111111111111111,-1.05409255338946,A,1,8.24621125123532,R,-0.835616438356164,-7.13950997896397,L
16,1,7962,673,69,21,71,5,0,72,-0.533333333333333,-5.05964425626941,L,1,8.48528137423857,R,-0.868421052631579,-7.57071921772854,L
16,2,1,775,54,38,5,43,68,0,-0.173913043478261,-1.6681153124566,A,-1,-8.24621125123532,L,0.791666666666667,5.48482755730145,R
16,4,8565,733,56,15,67,12,0,72,-0.577464788732394,-4.8658047985948,L,1,8.48528137423857,R,-0.69620253164557,-6.18798345509313,L
16,5,9043,757,36,35,0,32,61,0,-0.0140845070422535,-0.118678165819385,A,-1,-7.81024967590665,L,1,5.65685424949238,R
16,6,9180,808,68,25,10,66,71,0,-0.462365591397849,-4.45889228734083,L,-1,-8.42614977317636,L,0.736842105263158,6.42364054837573,R
17,5,7773,757,36,31,4,26,0,41,-0.0746268656716418,-0.610847221781526,A,1,6.40312423743285,R,0.733333333333333,4.01663208837122,R
18,5,9112,672,NA,NA,29,3,NA,NA,NA,NA,NA,NA,NA,NA,-0.8125,-4.59619407771256,L
18,6,9028,813,30,25,74,0,0,71,-0.0909090909090909,-0.674199862463242,A,1,8.42614977317636,R,-1,-8.60232526704263,L
