PVC_Nr,Batch,Subject,Sow,Test_Nr,HAT_disturbance_freq,HAT_exploration_human_dur,HAT_exploration_human_freq,HAT_jumping_freq,HAT_latency_to_touch_the_human_dur,HAT_pig_not_visible_dur,HAT_pig_not_visible_freq,HAT_pig_visible_not_exploring_dur,HAT_pig_visible_not_exploring_freq,HAT_tail_wagging_freq,HAT_touching_not_visible_freq,NPT_back_dur,NPT_back_freq,NPT_climbing_freq,NPT_facing_back_dur,NPT_facing_back_freq,NPT_facing_fence_dur,NPT_facing_fence_freq,NPT_front_dur,NPT_front_freq,NPT_latency_back_dur,NPT_latency_front_dur,NPT_latency_middle_dur,NPT_middle_dur,NPT_middle_freq,NPT_sudden_display_dur,NPT_sudden_display_freq,NPT_tail_wagging_freq,NPT_turn_back_freq,NPT_walking_by_fence_dur,NPT_walking_by_fence_freq,NPT_latency_nose_nose_dur,NPT_nose_nose_freq,NPT_NP_not_visible_dur,NPT_NP_walking_by_fence_dur,NPT_Sback_NPback_freq,NPT_Sback_NPback_dur,NPT_Sfront_NPback_freq,NPT_Sfront_NPback_dur,NPT_Smiddle_NPback_freq,NPT_Smiddle_NPback_dur,NPT_Smiddle_NPfront_freq,NPT_Smiddle_NPfront_dur,NPT_Sfront_NPfront_freq,NPT_Sfront_NPfront_dur,NPT_Sfaceback_NPfaceback_freq,NPT_Sfaceback_NPfaceback_dur,NPT_Sfaceback_NPfacefence_freq,NPT_Sfaceback_NPfacefence_dur,NPT_Sfacefence_NPfacefence_freq,NPT_Sfacefence_NPfacefence_dur,NPT_Swalkfence_NPwalkfence_freq,NPT_Swalkfence_NPwalkfence_dur,NPT_Swalkfence_NPnotwalkfence_dur,NPT_Snotwalkfence_NPwalkfence_dur
7395,5,2,766,1,0,4.041,2,4,7.834,11.846,4,254.101,7,0,0,0,0,6,4.499,3,183.994,13,265.202,3,270,0,217.541,4.751,2,0,0,0,0,78.984,9,0,32,4.249,31.498,0,0,4,85.003,2,3.998,1,0.752,5,177.694,1,0.748,3,3.75,12,146.236,4,26.495,52.489,5.003
7395,5,2,766,2,0,35.742,4,1,10.644,9.495,3,224.749,8,0,1,0,0,1,16.989,8,172.968,19,257.494,5,270,0,136.906,11.002,4,0,0,0,1,80.007,10,1.654,41,1.251,101.736,0,0,10,69.583,4,11.002,0,0,6,187.9,5,10.491,4,6.497,17,101.466,8,69.753,10.254,31.983
7641,1,2,672,1,1,12.947,4,0,54.129,12.644,3,244.395,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7641,1,2,672,2,0,22.195,3,0,114.408,32.247,4,215.544,8,0,0,56.997,11,0,85.304,12,184.673,12,141.246,8,44.751,0,41.002,71.721,18,0,0,0,0,0,0,0,19,0,144.213,0,0,0,0,0,0,18,71.721,8,141.246,0,0,9,24.255,14,101.495,0,0,0,144.213
7710,1,1,631,1,1,0,0,0,270,32.595,7,237.391,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7710,1,1,631,2,8,6.755,1,0,52.223,25.036,5,238.197,7,0,1,0,0,0,52.733,5,217.257,6,257.754,3,270,0,143.503,12.242,2,0,0,0,0,0,0,0,31,0,11.001,0,0,6,65.74,1,0.495,2,11.746,8,192.003,2,21.251,4,24.734,11,196.49,0,0,0,11.001
7712,1,14,713,1,4,17.794,5,1,69.6,61.703,8,190.478,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7712,1,14,713,2,0,20.194,3,0,235.045,9.003,2,240.793,6,0,0,0,0,0,29.991,3,228.249,5,261.289,2,270,0,64.786,8.708,2,0,0,0,0,11.751,2,4.537,20,0,0,0,0,3,28.993,0,0,2,8.708,5,232.29,0,0,3,29.991,7,203.737,0,0,11.751,0
7765,1,13,721,1,0,3.887,2,0,92.861,23.712,5,242.387,8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7765,1,13,721,2,1,33.249,3,0,13.191,73.7,9,163.028,12,0,3,5.748,1,0,86.498,9,183.484,10,200.498,4,205.483,4.231,150.731,63.744,6,0,0,0,0,0,0,6.228,15,1.004,0,1,1.494,4,16.749,6,34.262,5,29.477,4,183.745,5,12.738,11,73.75,9,174.482,0,0,0,0
7773,5,17,757,1,0,0,0,0,270,0,0,270,1,0,0,0,0,0,1.498,1,180.491,8,269.002,1,270,0,269.202,0.797,1,0,0,4,0,87.996,7,1.001,30,53.999,0,0,0,1,75.745,1,0.797,0,0,1,193.256,0,0,0,0,6,136.497,0,0,87.996,0
7773,5,17,757,2,3,10.611,2,0,9.556,32.512,8,226.857,11,0,0,37.555,3,0,56.05,4,213.943,4,195.932,2,204.443,0,187.942,36.505,4,0,0,0,4,0,0,0,4,11.001,5.252,1,0.497,3,121.496,2,19.75,3,16.754,3,74.432,1,15.751,4,36.3,7,91.185,0,0,0,5.252
7804,1,15,693,1,1,57.149,3,0,58.554,8.797,2,204.045,5,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7804,1,15,693,2,0,46.438,6,0,6.348,17.801,3,205.746,7,0,3,0,0,0,43.996,5,218.99,7,235.739,5,270,0,144.002,34.253,4,1.247,1,0,0,5.754,1,0,17,0,0,0,0,1,2.254,2,9.245,5,25.005,5,233.484,2,8.751,6,35.242,7,216.49,0,0,5.754,0
7829,1,18,766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7831,1,9,766,1,1,36.305,10,3,8.589,9.949,4,223.721,12,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7831,1,9,766,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,9.745,2,243.496,7,263.25,2,270,0,237.043,6.748,1,0,0,1,0,16.747,4,1.54,22,0,0,0,0,8,119,0,0,1,6.748,8,144.236,0,0,2,9.745,11,173.53,0,0,16.747,0
