PVC_Nr,Batch,Subject,Sow,Test_Nr,HAT_disturbance_freq,HAT_exploration_human_dur,HAT_exploration_human_freq,HAT_jumping_freq,HAT_latency_to_touch_the_human_dur,HAT_pig_not_visible_dur,HAT_pig_not_visible_freq,HAT_pig_visible_not_exploring_dur,HAT_pig_visible_not_exploring_freq,HAT_tail_wagging_freq,HAT_touching_not_visible_freq,NPT_back_dur,NPT_back_freq,NPT_climbing_freq,NPT_facing_back_dur,NPT_facing_back_freq,NPT_facing_fence_dur,NPT_facing_fence_freq,NPT_front_dur,NPT_front_freq,NPT_latency_back_dur,NPT_latency_front_dur,NPT_latency_middle_dur,NPT_middle_dur,NPT_middle_freq,NPT_sudden_display_dur,NPT_sudden_display_freq,NPT_tail_wagging_freq,NPT_turn_back_freq,NPT_walking_by_fence_dur,NPT_walking_by_fence_freq,NPT_latency_nose_nose_dur,NPT_nose_nose_freq,NPT_NP_not_visible_dur,NPT_NP_walking_by_fence_dur,NPT_Sback_NPback_freq,NPT_Sback_NPback_dur,NPT_Sfront_NPback_freq,NPT_Sfront_NPback_dur,NPT_Smiddle_NPback_freq,NPT_Smiddle_NPback_dur,NPT_Smiddle_NPfront_freq,NPT_Smiddle_NPfront_dur,NPT_Sfront_NPfront_freq,NPT_Sfront_NPfront_dur,NPT_Sfaceback_NPfaceback_freq,NPT_Sfaceback_NPfaceback_dur,NPT_Sfaceback_NPfacefence_freq,NPT_Sfaceback_NPfacefence_dur,NPT_Sfacefence_NPfacefence_freq,NPT_Sfacefence_NPfacefence_dur,NPT_Swalkfence_NPwalkfence_freq,NPT_Swalkfence_NPwalkfence_dur,NPT_Swalkfence_NPnotwalkfence_dur,NPT_Snotwalkfence_NPwalkfence_dur
9069,5,9,801,2,8,5.298,2,0,3.516,74.345,8,190.337,11,15,0,0,0,0,38.001,7,212.484,12,242.484,5,270,0,88.113,27.508,4,2.99,2,17,2,16.501,4,0,2,0,0,0,0,6,167.36,4,19.011,1,8.496,3,75.12,6,33.004,2,4.996,5,72.609,0,0,16.501,0
9080,5,12,800,1,1,6.549,2,0,55.857,17.651,5,245.786,8,0,0,0.456,1,0,8.496,3,238.24,8,258.508,2,270,4.202,239.961,11.031,3,0,0,0,1,23.25,4,7.279,21,29.253,0,1,0.456,7,120.99,3,10.533,1,0.497,6,137.507,1,4.496,1,1.501,11,125.474,0,0,23.25,0
9080,5,12,800,2,8,25.449,3,0,4.617,8.996,3,235.543,7,1,5,0,0,0,7.006,2,221.979,11,268.001,2,270,0,216.523,1.997,1,6.501,3,1,0,34.493,6,0,17,16.999,18.247,0,0,7,72.974,1,1.997,0,0,6,195.016,2,7.006,0,0,11,160.25,1,8.494,25.999,9.753
9089,6,13,806,1,1,32.049,3,0,152.519,8.249,4,229.689,7,1,2,0,0,0,5.003,1,155.484,12,257.999,2,270,0,196.751,11.999,1,0,0,0,1,109.491,10,0,12,50.748,0,0,0,5,126.756,1,11.999,0,0,5,131.235,0,0,1,5.003,9,129.98,0,0,109.491,0
9089,6,13,806,2,4,122.352,6,0,13.646,43.198,6,104.426,13,0,32,0,0,0,28.494,8,217.225,12,230.746,7,270,0,105.045,39.242,6,4.754,2,9,0,19.502,4,0,29,16.748,5.496,0,0,11,67.99,4,12.246,5,26.993,13,162.739,3,4.507,6,20.742,13,173.73,0,0,19.502,5.496
9095,5,11,801,1,1,20.854,5,0,27.322,26.041,4,223.088,9,0,0,0,0,0,5.056,2,241.186,5,267.249,2,270,0,241.813,2.749,1,0,0,5,0,23.749,3,2.06,41,15.506,0,0,0,4,58.248,1,2.749,0,0,4,208.995,0,0,2,5.056,5,177.435,0,0,23.749,0
9095,5,11,801,2,5,19.094,2,0,81.299,0,0,250.902,3,0,0,0,0,0,7.005,3,239.971,9,264.999,2,270,0,256.917,4.999,1,0,0,0,0,23.008,5,0,19,4.009,0,0,0,9,113.746,1,3.758,1,1.24,10,151.236,2,3.999,2,3.005,12,201.977,0,0,23.008,0
9100,6,10,772,1,1,23.947,4,0,6.24,15.785,5,230.252,8,0,4,0,0,4,0,0,254.49,4,270,1,270,0,270,0,0,0,0,2,0,15.504,3,0,8,50.245,0,0,0,4,107.714,0,0,0,0,4,162.279,0,0,0,0,7,122.991,0,0,15.504,0
9100,6,10,772,2,1,144.199,6,0,1.649,46.005,2,79.78,9,0,14,0,0,3,0,0,251.984,4,270,1,270,0,270,0,0,0,0,0,0,18.009,4,0,20,51.763,0,0,0,5,101.506,0,0,0,0,5,168.485,0,0,0,0,6,168.992,0,0,18.009,0
9110,5,7,797,1,6,13.441,3,0,10.488,23.286,9,233.249,13,0,1,0,0,0,43.239,3,226.755,4,211.747,3,270,3.122,144.127,58.247,4,0,0,2,5,0,0,23.623,20,19.247,5.998,0,0,6,73.749,3,19.871,4,38.373,7,137.988,3,8.491,4,24.743,13,155.121,0,0,0,5.998
9110,5,7,797,2,0,4.644,1,0,234.738,4.653,1,260.699,3,0,2,0,0,0,41.242,7,228.744,8,244.245,4,270,0,205.918,25.749,3,0,0,0,0,0,0,0,24,17.502,0,0,0,9,113.74,4,12.249,2,13.497,8,130.492,4,12.732,4,24.754,12,143.983,0,0,0,0
9112,5,18,672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9130,5,13,795,1,1,14.1,3,0,119.177,17.243,9,238.635,11,0,0,0,0,0,17.546,2,216.936,8,244.751,2,270,0,229.175,25.247,1,0,0,5,1,35.504,5,9.423,20,22.099,0,0,0,5,82.846,1,25.247,0,0,3,161.899,0,0,2,17.546,8,190.588,0,0,35.504,0
9130,5,13,795,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,8.506,3,233.189,11,262.011,3,270,0,84.899,7.985,2,4.292,3,0,1,23.993,4,0,10,27.007,7.003,0,0,8,132.775,2,7.985,0,0,7,129.224,2,3.507,2,4.998,12,121.726,0,0,23.993,7.003
9133,5,4,672,1,0,12.491,2,3,223.115,16.434,4,241.064,6,0,2,45.413,6,0,117.994,8,151.99,9,145.492,7,76.155,0,25.905,79.071,12,0,0,2,6,0,0,0,13,9.246,66.241,2,5.749,6,64.085,4,21.485,11,57.583,9,81.399,4,13.498,11,57.988,13,99.894,0,0,0,66.241
9133,5,4,672,2,1,9.636,2,0,13.788,12.65,2,247.706,5,1,0,157.215,8,0,192.957,8,77.028,8,46.993,4,6.204,58.455,60.952,65.769,12,0,0,0,5,0,0,195.207,6,0,130.184,0,0,0,0,0,0,12,65.769,4,46.993,0,0,11,84.253,5,55.536,0,0,0,130.184
9135,6,15,809,1,1,11.04,3,0,11.112,33.143,6,225.799,10,0,0,39.052,3,0,64.521,5,154.951,10,203.716,5,86.974,0,80.974,27.217,8,0,0,0,1,50.509,5,3.726,2,42.497,7.501,3,24.05,7,147.728,6,23.219,2,3.998,6,55.98,5,22.993,6,34.265,9,58.22,0,0,50.509,7.501
9135,6,15,809,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,9.498,4,245.742,7,270,1,270,0,270,0,0,0,0,0,0,14.748,2,0,21,45.25,14.756,0,0,3,85.069,0,0,0,0,3,184.926,1,1.751,1,1.501,7,185.238,2,12.754,1.994,2.002
9166,6,5,810,1,1,0,0,0,270,24.682,6,245.306,7,0,0,0,0,0,5.997,2,191.259,11,251.004,2,270,6.5,190.251,18.993,2,0,0,0,0,72.724,8,10.748,4,89.497,0,0,0,4,219.759,1,12.493,1,6.5,3,31.24,2,4.496,0,0,4,53.999,0,0,72.724,0
9166,6,5,810,2,0,224.163,8,0,9.113,13.754,4,32.065,7,0,33,0,0,0,0,0,191.72,11,270,1,270,0,270,0,0,0,0,2,0,78.26,10,0,17,117.683,0,0,0,5,184.188,0,0,0,0,5,85.803,0,0,0,0,11,106.795,0,0,78.26,0
9172,5,10,798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9180,6,16,808,1,1,2.648,1,0,137.398,136.407,4,129.437,6,0,1,0,0,0,38.253,3,154.99,13,270,1,270,0,270,0,0,0,0,0,0,76.734,9,5.121,3,38.502,0,0,0,5,147.125,0,0,0,0,5,122.866,1,20.999,3,17.253,9,110.352,0,0,76.734,0
9180,6,16,808,2,5,20.343,3,0,3.331,27.64,7,221.999,9,0,2,0,0,0,17.989,6,213.494,13,251.994,6,270,0,116.81,17.996,5,0,0,0,0,38.492,7,4.057,22,14.746,0,0,0,7,145.797,5,17.996,0,0,2,106.194,5,12.492,2,3.748,6,133.688,0,0,38.492,0
9233,6,1,808,1,2,13.343,2,4,87.179,12.654,3,242.193,6,0,0,0,0,12,25.251,2,194.143,11,244.996,3,270,0,197.594,25,2,0,0,0,0,50.586,8,0,13,77.999,8.001,0,0,6,152.988,2,15.994,2,9.004,7,91.998,1,1.749,2,5.494,10,100.975,0,0,50.586,8.001
9233,6,1,808,2,4,128.379,18,0,2.176,41.647,5,99.931,21,0,6,0,0,1,21.365,7,144.109,14,254.504,6,270,0,161.632,15.486,5,0,0,0,0,100.497,7,0,37,54.496,89.264,0,0,9,70.113,5,14.237,1,1.248,5,184.383,1,2.252,3,2.109,11,81.354,5,84.244,16.253,5.02
9238,5,8,797,1,1,0,0,1,270,20.691,8,249.293,9,0,0,62.994,5,0,137.339,10,122.14,11,78.771,3,85.402,0,65.401,128.22,8,0,0,0,7,10.5,1,0,6,81.243,0,6,47.994,3,49.121,11,89.716,5,38.496,1,29.649,13,35.736,9,56.091,8,70.389,0,0,10.5,0
9238,5,8,797,2,2,27.403,4,0,7.416,51.159,8,191.42,9,0,1,24.095,2,0,99.453,7,170.534,7,173.547,5,199.038,0,67.289,72.346,6,0,0,0,1,0,0,0,13,33.742,0,2,6.245,8,97.999,6,65.229,2,7.115,5,75.54,8,37.498,4,35.197,7,87.283,0,0,0,0
