PVC_Nr,Batch,Subject,Sow,L_w,R_w,L_t,R_t,L_f,R_f,LI_w,z_score_w,bias_w,LI_f,z_score_f,bias_f,LI_t,z_score_t,bias_t,Test_Nr,elim_freq,expl_dur,expl_freq,head_invisible,jump_freq,knee_dur,knee_freq,locom_dur,locom_freq,no_expl_dur,no_expl_freq,stand_dur,stand_freq,OFT_voc_freq,sit_ly_freq,expl_obj_dur,expl_obj_freq,NOT_inter_voc_dur,lat_expl_obj_dur,no_expl_obj_dur,no_expl_obj_freq,chew_dur,chew_freq,expl_wob_dur,expl_wob_freq,freez_dur,freez_freq,BIBAGO_inter_voc_dur,expl_wob_lat,no_expl_wob_dur,no_expl_wob_freq,BIBAGO_voc_freq,wob_open
7848,5,14,766,17,34,29,3,0,61,0.333333333333333,2.38047614284762,R,1,7.81024967590665,R,-0.8125,-4.59619407771256,L,1,1,30.76,10,0,1,0,0,114.387,41,239.221,11,153.778,42,308,0,22.284,8,13.035,5.888,241.813,8,28.299,6,10.374,10.374,12.354,3,8.263,4.115,255.505,3,127,0
7865,1,7,685,43,34,76,1,74,0,-0.116883116883117,-1.02564518813674,A,-1,-8.60232526704263,L,-0.974025974025974,-8.54704323447285,L,1,4,9.252,2,0,10,0,0,92.592,41,260.744,3,168.31,50,212,0,21.198,4,9.653,4.151,244.644,4,11.997,2,10.541,10.541,8.503,2,10.932,28.033,231.421,3,146,0
7907,1,6,721,52,33,75,1,0,71,-0.223529411764706,-2.06083934927723,L,1,8.42614977317636,R,-0.973684210526316,-8.48838215321078,L,1,1,97.594,12,0,0,0,0,96.418,21,172.382,13,173.541,21,127,0,4.697,3,16.594,58.39,206.908,3,103.863,26,128.316,128.316,0,0,2.965,1.668,139.961,28,49,0
7910,5,1,783,40,31,13,18,0,62,-0.126760563380282,-1.06810349237447,A,1,7.87400787401181,R,0.161290322580645,0.898026510133875,A,1,5,26.25,7,0,1,0,0,121.169,31,243.736,8,146.016,32,168,0,17.645,5,0.561,63.513,188.833,5,0,0,3.251,3.251,4.246,1,0,11.9,254.844,3,129,0
7914,1,11,765,45,33,70,7,76,0,-0.153846153846154,-1.35873244097351,A,-1,-8.71779788708135,L,-0.818181818181818,-7.17951631695719,L,1,5,14.743,5,0,1,0,0,129.624,34,255.247,6,139.559,34,177,0,3.143,3,1.043,11.648,255.204,3,77.261,7,61.498,61.498,4.695,1,5.158,11.656,196.827,10,40,0
7961,1,5,718,12,35,0,0,73,0,0.48936170212766,3.35489480445157,R,-1,-8.54400374531753,L,NA,NA,NA,1,2,112.589,11,0,1,0,0,102.241,28,157.39,11,163.699,29,106,0,18.393,6,11.858,12.361,239.235,6,45.924,9,0,0,7.248,2,48.98,270,0,0,44,0
7962,1,16,673,69,21,71,5,0,72,-0.533333333333333,-5.05964425626941,L,1,8.48528137423857,R,-0.868421052631579,-7.57071921772854,L,1,2,24.238,8,0,1,0,0,160.579,40,245.746,9,108.74,40,231,0,12.365,5,5.565,7.843,249.783,5,33.997,9,214.639,214.639,3.294,1,3.335,0.001,55.337,12,18,0
7966,1,10,656,44,36,0,76,0,73,-0.1,-0.894427190999916,A,1,8.54400374531753,R,1,8.71779788708135,R,1,4,34.848,9,0,1,0,0,104.166,32,235.135,9,164.02,33,196,0,90.586,4,6.568,18.224,161.183,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7986,1,8,685,25,69,74,2,0,76,0.468085106382979,4.53825348353869,R,1,8.71779788708135,R,-0.947368421052632,-8.25896641934022,L,1,1,2.247,1,0,0,0,0,103.43,41,267.751,2,165.49,42,197,0,14.497,5,0,84.529,170.965,5,75.863,11,125.097,125.097,15.002,3,0.569,1.967,142.917,10,56,0
8515,6,12,772,17,16,49,3,68,0,-0.0303030303030303,-0.174077655955698,A,-1,-8.24621125123532,L,-0.884615384615385,-6.37905225659014,L,1,4,68.792,17,0,0,0,0,132.383,33,201.174,18,137.552,33,42,0,118.546,6,9.688,38.087,113.356,6,9.756,3,4.353,4.353,0,0,6.429,7.778,257.866,2,29,0
8530,6,9,775,27,50,75,2,0,71,0.298701298701299,2.62109325857167,R,1,8.42614977317636,R,-0.948051948051948,-8.31912208155357,L,1,3,86.622,22,0,0,6,2,87.128,31,181.733,23,176.807,33,239,0,33.896,4,3.865,138.866,97.231,4,73.55,26,111.04,111.04,6.752,2,0.36,45.96,112.971,15,42,0
