Batch,Subject,Test_Nr,Novel_pig,PVC_Nr,Sow,NPT_back_dur,NPT_back_freq,NPT_climbing_freq,NPT_facing_back_dur,NPT_facing_back_freq,NPT_facing_fence_dur,NPT_facing_fence_freq,NPT_front_dur,NPT_front_freq,NPT_latency_back_dur,NPT_latency_front_dur,NPT_latency_middle_dur,NPT_middle_dur,NPT_middle_freq,NPT_sudden_display_dur,NPT_sudden_display_freq,NPT_tail_wagging_freq,NPT_turn_back_freq,NPT_walking_by_fence_dur,NPT_walking_by_fence_freq,NPT_NP_back_dur,NPT_NP_back_freq,NPT_NP_climbing_freq,NPT_NP_facing_back_dur,NPT_NP_facing_back_freq,NPT_NP_facing_fence_dur,NPT_NP_facing_fence_freq,NPT_NP_front_dur,NPT_NP_front_freq,NPT_NP_latency_nose-nose_dur,NPT_NP_middle_dur,NPT_NP_middle_freq,NPT_NP_nose-nose_freq,NPT_NP_pig_not_visible_dur,NPT_NP_pig_not_visible_freq,NPT_NP_sudden_display_dur,NPT_NP_sudden_display_freq,NPT_NP_tail_wagging_freq,NPT_NP_walking_by_fence_dur,NPT_NP_walking_by_fence_freq,NPT_Sback_NPback_freq,NPT_Sback_NPback_dur,NPT_Sfront_NPback_freq,NPT_Sfront_NPback_dur,NPT_Smiddle_NPback_freq,NPT_Smiddle_NPback_dur,NPT_Smiddle_NPfront_freq,NPT_Smiddle_NPfront_dur,NPT_Sfront_NPfront_freq,NPT_Sfront_NPfront_dur,NPT_Sfaceback_NPfaceback_freq,NPT_Sfaceback_NPfaceback_dur,NPT_Sfaceback_NPfacefence_freq,NPT_Sfaceback_NPfacefence_dur,NPT_Sfacefence_NPfacefence_freq,NPT_Sfacefence_NPfacefence_dur,NPT_Swalkfence_NPwalkfence_freq,NPT_Swalkfence_NPwalkfence_dur,NPT_Swalkfence_NPnotwalkfence_dur,NPT_Snotwalkfence_NPwalkfence_dur
1,13,2,9297,7765,721,5.748,1,0,86.498,9,183.484,10,200.498,4,205.483,4.231,150.731,63.744,6,0,0,0,0,0,0,52.51,6,0,20.739,5,248.246,6,217.479,6,6.228,0,0,15,1.004,1,0,0,0,0,0,1,1.494,4,16.749,6,34.262,5,29.477,4,183.745,5,12.738,11,73.75,9,174.482,0,0,0,0
1,14,1,8147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,14,2,674,7712,713,0,0,0,29.991,3,228.249,5,261.289,2,270,0,64.786,8.708,2,0,0,0,0,11.751,2,28.993,3,0,27.753,3,242.241,4,241.001,4,4.537,0,0,20,0,0,0,0,18,0,0,0,0,3,28.993,0,0,2,8.708,5,232.29,0,0,3,29.991,7,203.737,0,0,11.751,0
1,15,1,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15,2,8528,7804,693,0,0,0,43.996,5,218.99,7,235.739,5,270,0,144.002,34.253,4,1.247,1,0,0,5.754,1,11.5,2,0,11.251,2,258.745,3,258.496,3,0,0,0,17,0,0,0,0,0,0,0,0,0,1,2.254,2,9.245,5,25.005,5,233.484,2,8.751,6,35.242,7,216.49,0,0,5.754,0
1,16,1,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,16,2,609,7962,673,165.49,9,0,179.1,13,90.876,12,31.083,4,4.334,0,0.586,73.402,13,0,0,0,1,0,0,23.989,6,0,14.145,5,254.344,6,246.001,5,0,0,0,2,0,0,1.5,1,17,0,0,5,18.236,1,0.586,3,5.164,12,68.236,3,30.497,5,11.644,17,165.946,12,88.375,0,0,0,0
1,17,NA,NA,7924,765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,18,NA,NA,7829,766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,8927,4,691,5.95,1,0,10.499,1,191.9,6,256.546,2,7.633,0,3.133,7.5,2,0,0,0,0,67.59,5,30.192,2,0,35.153,6,231.839,5,239.804,3,39.334,0,0,15,2.197,1,0,0,0,0,0,0,0,2,28.543,1,1.648,2,5.851,3,228,2,0.999,1,9.498,6,175.051,0,0,67.59,0
2,1,2,8793,4,691,0,0,0,18.747,4,155.978,19,258.499,3,270,0,226.25,11.497,2,0,0,0,0,95.239,14,105.738,6,0,35.987,10,187.981,17,164.25,7,0,0,0,29,0,0,0,0,0,46,6,0,0,7,100.486,2,5.249,1,6.247,7,158.002,2,3.245,4,13.749,21,122.228,6,33.246,61.993,12.754
2,2,1,8759,14,747,0,0,0,22.98,2,240.965,5,270,1,270,0,270,0,0,0,0,0,0,6.047,2,22.248,2,0,51.124,9,191.34,13,247.748,3,42.399,0,0,16,0,0,0,0,3,27.511,4,0,0,2,22.248,0,0,0,0,3,247.748,1,1.499,3,21.479,14,167.109,1,0.501,5.546,27.01
