PVC_Nr,Batch,Subject,Sow,Test_Nr,elim_freq,expl_dur,expl_freq,head_invisible,jump_freq,knee_dur,knee_freq,locom_dur,locom_freq,no_expl_dur,no_expl_freq,stand_dur,stand_freq,OFT_voc_freq,sit_ly_freq,expl_obj_dur,expl_obj_freq,NOT_inter_voc_dur,lat_expl_obj_dur,no_expl_obj_dur,no_expl_obj_freq,chew_dur,chew_freq,expl_wob_dur,expl_wob_freq,freez_dur,freez_freq,BIBAGO_inter_voc_dur,expl_wob_lat,no_expl_wob_dur,no_expl_wob_freq,BIBAGO_voc_freq,wob_open,choco_eaten,Kong_score
15,2,14,747,2,1,109.404,20,4.503,0,0,0,64.968,18,160.556,21,204.997,18,14,0,55.328,11,270,0.7,213.951,11,20.301,9,41.583,11,3.495,1,0,31.704,196.692,11,31,0,10,2
18,2,3,680,1,1,48.579,10,0,2,0,0,140.456,40,221.401,11,122.471,43,207,0,18.448,5,11.615,15.768,235.775,5,64.113,15,59.449,10,12.998,3,0,103.369,107.163,10,43,0,7,1
18,2,3,680,2,4,NA,NA,9.403,0,0,0,111.472,31,203.983,16,158.467,31,64,0,13.842,5,28.021,107.973,148.176,5,10.75,3,54.069,13,0,0,0,65.353,150.553,13,10,0,10,2
19,2,15,680,1,4,27.691,8,0,1,0,0,73.31,21,242.293,9,194.108,23,178,0,57.538,8,14.554,4.804,207.643,8,0,0,3.852,4,23.255,6,21.557,44.858,221.283,4,84,0,0,0
19,2,15,680,2,5,32.69,8,4.75,0,0,0,70.368,20,237.294,9,199.592,21,23,0,49.996,10,10.656,22.357,197.628,10,8.554,2,4.501,3,3.497,1,109.182,89.728,175.766,3,23,0,0,0
2,2,10,772,1,3,41.725,12,0,3,0,0,124.055,33,228.251,13,141.893,37,123,0,58.531,9,23.554,4.105,207.347,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,10,772,2,4,117.426,12,0,0,0,0,109.826,26,152.552,11,160.122,27,22,0,31.344,7,53.584,11.733,226.26,7,66.246,20,99.427,10,2.898,1,151.33,28.533,142.021,10,8,0,10,2
21,2,9,770,1,3,37.244,12,0,1,0,0,172.444,29,232.732,13,96.65,31,125,0,55.193,9,12.749,3.448,211.342,9,94.582,15,85.182,14,0,0,10.264,84.414,100.377,14,27,0,9,1
21,2,9,770,2,2,79.03,17,0,0,0,0,126.468,28,190.936,18,143.478,27,82,0,45.099,8,9.922,13.272,211.614,8,32.205,11,69.277,10,0,0,4.536,10.441,190.263,10,76,0,10,2
3,2,12,772,1,1,19.591,6,0,6,0,0,177.401,40,250.397,7,87.272,46,357,0,17.398,5,0,8.583,244.01,5,57.25,20,70.669,16,3,1,0.392,21.791,177.509,16,94,0,10,2
3,2,12,772,2,3,86.839,21,4.753,0,0,0,104.927,27,183.119,22,165.019,28,85,0,40.844,5,4.126,170.377,46.224,5,13.303,6,64.409,19,6.5,2,2.362,7.262,198.292,19,71,0,10,2
4,2,1,691,1,1,16.712,4,0,1,0,0,132.476,37,253.28,5,136.454,39,251,0,107.843,9,54.606,5.611,156.529,9,80.642,16,151.848,8,0,0,18.056,22.505,95.632,8,12,0,10,2
4,2,1,691,2,1,38.732,11,0,0,0,0,103.275,30,231.246,12,166.665,31,37,0,72.8,4,54.257,12.057,185.136,4,13.104,6,100.216,7,0,0,68.123,113.029,56.743,6,9,0,10,2
5,2,6,691,1,3,19.841,5,0,3,0,0,86.821,28,250.149,6,180.628,31,197,0,18.951,6,2.196,0.592,250.446,6,62.072,17,72.433,15,0,0,16.543,27.446,170.092,15,62,0,0,0
5,2,6,691,2,1,79.447,13,0,0,0,0,88.77,26,190.529,14,181.178,27,56,0,153.813,6,0.84,2.723,113.454,5,18.492,8,61.618,6,3.499,1,4.12,37.572,170.8,5,37,0,10,2
7,2,4,728,1,4,17.344,5,0,0,0,0,46.534,16,252.646,6,223.435,16,47,0,26.392,4,4.4,6.351,237.25,4,0,0,4.398,2,31.117,7,101.888,146.89,118.709,2,32,0,0,0
7,2,4,728,2,5,58.88,14,3.05,0,0,0,69.308,20,211.092,15,200.653,20,58,0,50.795,7,0.894,15.893,203.299,7,0,0,9.094,4,3.503,1,40.189,41.191,219.708,4,30,0,0,0
7395,5,2,766,1,5,32.739,10,0,6,0,0,162.63,40,237.241,11,100.781,45,228,0,20.892,6,12.137,7.237,241.86,6,18.4,5,11.452,3,0,0,231.387,67.283,191.26,3,2,0,0,0
7395,5,2,766,2,4,NA,NA,5.501,0,0,0,90.095,24,208.383,13,179.859,23,33,0,14.193,4,51.397,77.349,178.451,4,11.496,2,13.802,2,0,0,48.679,23.82,232.375,2,6,0,0,1
7641,1,2,672,1,6,26.185,8,0,2,0,0,127.912,30,243.799,9,138.781,31,155,0,27.893,6,32.638,88.09,154.006,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7641,1,2,672,2,7,87.094,10,0,0,0,0,60.783,18,182.886,11,209.181,19,23,0,71.645,6,77.79,11.338,187.006,6,69.027,15,115.53,15,0,0,4.722,2.272,152.169,15,9,0,NA,NA
7710,1,1,631,1,6,15.238,6,0,0,0,0,71.22,27,255.038,7,199.014,28,117,0,4.346,2,11.102,83.505,182.146,2,45.951,14,215.766,7,0,0,3.462,4.962,49.26,6,36,0,10,2
7710,1,1,631,2,5,25.793,7,0,0,0,0,71.923,20,244.193,8,198.037,21,46,0,62.549,4,4.883,4.834,202.61,4,44.294,5,61.24,11,6.501,2,4.432,3.986,204.753,11,12,0,5,1
7712,1,14,713,1,1,55.183,14,0,0,9.493,4,121.962,38,214.789,15,138.462,42,200,0,61.638,7,10.447,15.997,192.352,7,0,0,6.594,4,3.002,1,0,49.149,214.55,4,260,0,0,0
7712,1,14,713,2,1,54.998,12,0,0,0,0,67.69,20,214.978,13,202.27,21,109,0,110.188,10,1.217,105.824,53.969,10,0,0,0,0,7.498,2,0,270,0,0,49,0,0,0
7765,1,13,721,1,4,62.736,13,0,0,0,0,94.924,22,207.238,14,175.033,22,108,0,20.464,4,17.678,164.275,85.255,3,93.744,17,59.489,11,9.254,2,15.595,52.193,158.297,11,36,0,5,1
7765,1,13,721,2,1,95.98,20,0,0,0,0,95.565,18,173.98,21,174.4,18,35,0,125.168,5,48.228,50.373,94.451,4,9.8,2,9.852,2,15.285,4,0,222.059,38.086,2,16,0,0,0
7773,5,17,757,1,4,21.534,8,0,0,0.999,1,81.168,29,248.45,9,187.773,31,103,0,0,0,17.162,270,0,0,2.749,1,5.998,3,16.603,5,6.527,40.827,223.17,3,124,0,1,1
7773,5,17,757,2,4,NA,NA,32.345,1,0,0,100.279,29,248.145,7,168.414,31,177,0,42.092,5,9.727,99.878,128.021,5,26.798,10,65.8,9,0,0,8.148,10.199,193.984,9,12,0,8,1
7804,1,15,693,1,4,10.853,3,0,0,0,0,67.384,19,259.141,4,202.579,19,73,0,7.554,4,0.66,23.256,239.183,4,59.062,15,101.387,19,6.751,2,2.83,3.48,165.096,19,42,0,10,2
7804,1,15,693,2,4,24.65,4,0,0,0,0,54.451,17,245.343,4,215.515,18,37,0,72.637,11,2.529,5.277,192.065,11,16.26,4,65.066,17,24.295,6,34.259,112.16,92.741,17,39,0,10,2
7831,1,9,766,1,6,19.735,6,0,4,1.75,1,89.128,33,250.253,7,173.802,38,223,0,60.489,8,0,2.93,206.566,8,0,0,6.308,3,12.001,3,10.506,29.808,233.879,3,91,0,0,0
7831,1,9,766,2,7,60.196,12,0,0,0,0,55.442,14,209.78,13,214.53,15,65,0,58.658,3,1.049,2.546,208.791,3,43.459,13,47.384,10,7.249,2,7.478,136.433,86.164,10,65,0,10,2
7832,1,3,693,1,4,72.341,16,0,1,0,0,109.42,35,197.627,17,158.008,35,138,0,33.348,2,22.553,3.753,232.896,2,50.343,8,104.04,15,2.998,1,0,53.271,112.66,15,29,0,10,2
7832,1,3,693,2,3,120.939,15,0,0,0,0,68.241,19,149.031,16,201.721,20,8,0,53.189,5,3.313,45.312,171.49,5,24.493,10,90.72,12,3.504,1,40.16,42.863,136.396,12,12,0,10,2
7834,1,12,656,1,2,69.98,11,0,0,0,0,103.032,27,200,11,166.915,28,19,0,141.473,4,223.254,24.148,98.07,4,4.75,1,34.044,6,4.002,1,219.635,11.131,224.814,6,3,0,5,1
7834,1,12,656,2,5,131.895,13,0,0,0,0,40.174,10,138.079,14,229.807,10,0,0,132.153,6,270,11.159,126.677,6,30.641,7,80.783,11,9.649,2,44.889,9.99,179.206,11,4,0,NA,NA
7835,1,4,670,1,4,29.793,8,0,5,2.249,1,108.829,37,240.628,9,154.282,44,340,0,30.539,8,7.645,36.096,202.041,8,55.956,20,48.787,10,3.751,1,5.457,9.857,211.337,10,84,0,0,0
7835,1,4,670,2,5,73.738,17,0,0,0,0,79.217,25,196.228,18,190.734,25,109,0,80.344,6,9.049,92.8,96.845,6,11.051,2,60.144,4,0,0,5.397,13.898,195.951,4,45,0,5,1
7848,5,14,766,1,1,30.76,10,0,1,0,0,114.387,41,239.221,11,153.778,42,308,0,22.284,8,13.035,5.888,241.813,8,28.299,6,10.374,4,12.354,3,8.263,4.115,255.505,3,127,0,0,1
7848,5,14,766,2,1,NA,NA,9.499,0,0,0,86.119,26,240.152,11,183.829,27,86,0,63.568,6,5.369,7.621,198.801,5,4.5,3,5.65,2,41.594,8,0,51.572,212.775,2,65,0,0,0
7865,1,7,685,1,4,9.252,2,0,10,0,0,92.592,41,260.744,3,168.31,50,212,0,21.198,4,9.653,4.151,244.644,4,11.997,2,10.541,3,8.503,2,10.932,28.033,231.421,3,146,0,0,0
7865,1,7,685,2,4,11.298,4,0,0,0,0,61.357,16,258.694,5,208.611,17,92,0,0,0,4.496,270,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7907,1,6,721,1,1,97.594,12,0,0,0,0,96.418,21,172.382,13,173.541,21,127,0,4.697,3,16.594,58.39,206.908,3,103.863,26,128.316,28,0,0,2.965,1.668,139.961,28,49,0,10,2
7907,1,6,721,2,2,81.154,18,0,0,0,0,61.831,20,188.811,18,208.129,21,89,0,22.59,7,25.792,35.593,211.804,7,92.557,14,104.784,14,11.001,3,0.45,89.65,75.539,14,40,0,10,2
7910,5,1,783,1,5,26.25,7,0,1,0,0,121.169,31,243.736,8,146.016,32,168,0,17.645,5,0.561,63.513,188.833,5,0,0,3.251,3,4.246,1,0,11.9,254.844,3,129,0,0,0
7910,5,1,783,2,5,NA,NA,14.591,0,0,0,81.715,20,210.747,10,188.245,21,60,0,5.554,3,2.886,22.283,242.158,3,0,0,6.243,5,13.953,4,1.894,66.094,197.654,5,152,0,0,0
7914,1,11,765,1,5,14.743,5,0,1,0,0,129.624,34,255.247,6,139.559,34,177,0,3.143,3,1.043,11.648,255.204,3,77.261,7,61.498,10,4.695,1,5.158,11.656,196.827,10,40,0,5,1
7914,1,11,765,2,4,11.594,4,0,0,0,0,55.071,13,258.398,5,214.904,13,21,0,21.846,2,19.298,25.446,222.705,2,31.994,9,41.886,12,0,0,5.23,8.378,219.713,12,28,0,10,2
7961,1,5,718,1,2,112.589,11,0,1,0,0,102.241,28,157.39,11,163.699,29,106,0,18.393,6,11.858,12.361,239.235,6,45.924,9,0,0,7.248,2,48.98,270,0,0,44,0,0,0
7961,1,5,718,2,4,115.884,14,0,0,0,0,78.455,19,154.089,14,191.507,20,21,0,74.092,5,8.531,3.531,192.368,5,68.77,14,103.895,8,0,0,4.718,36.166,129.924,8,29,0,10,2
7962,1,16,673,1,2,24.238,8,0,1,0,0,160.579,40,245.746,9,108.74,40,231,0,12.365,5,5.565,7.843,249.783,5,33.997,9,214.639,12,3.294,1,3.335,0.001,55.337,12,18,0,10,2
7962,1,16,673,2,7,45.329,10,0,0,0,0,61.286,14,224.652,10,208.686,15,21,0,14.597,4,20.817,6.065,249.331,4,30.203,9,85.098,6,0,0,5.403,8.051,176.84,6,8,0,NA,NA
7966,1,10,656,1,4,34.848,9,0,1,0,0,104.166,32,235.135,9,164.02,33,196,0,90.586,4,6.568,18.224,161.183,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7966,1,10,656,2,4,81.035,19,0,0,0,0,73.857,14,188.927,20,196.115,15,30,0,101.242,8,35.031,11.278,147.715,8,45.707,11,81.988,10,0,0,171.12,5.469,182.524,10,2,0,10,2
7986,1,8,685,1,1,2.247,1,0,0,0,0,103.43,41,267.751,2,165.49,42,197,0,14.497,5,0,84.529,170.965,5,75.863,11,125.097,10,15.002,3,0.569,1.967,142.917,10,56,0,10,2
7986,1,8,685,2,3,35.178,9,0,0,0,0,67.458,17,234.804,10,202.509,17,38,0,108.295,6,3.401,9.648,152.046,6,61.004,18,68.549,3,0,0,1.976,4.624,73.803,2,27,1,10,2
8515,6,12,772,1,4,68.792,17,0,0,0,0,132.383,33,201.174,18,137.552,33,42,0,118.546,6,9.688,38.087,113.356,6,9.756,3,4.353,2,0,0,6.429,7.778,257.866,2,29,0,0,0
8515,6,12,772,2,3,NA,NA,14.001,0,0,0,100.495,29,186.301,14,169.448,29,46,0,155.996,4,5.122,3.87,110.127,4,0,0,3.902,3,0,0,6.686,167.338,98.757,3,53,0,0,0
8530,6,9,775,1,3,86.622,22,0,0,6,2,87.128,31,181.733,23,176.807,33,239,0,33.896,4,3.865,138.866,97.231,4,73.55,26,111.04,15,6.752,2,0.36,45.96,112.971,15,42,0,10,2
8530,6,9,775,2,3,NA,NA,46.511,0,0.999,1,145.661,43,239.788,8,123.252,45,234,0,88.021,14,7.216,5.118,176.834,14,69.598,23,80.685,6,3.502,1,0,11.647,58.106,5,32,1,NA,NA
8548,6,2,804,1,6,22.392,6,0,4,2.693,3,119.795,36,247.596,7,143.689,41,237,0,27.65,4,10.484,95.735,146.608,4,0,0,7.1,5,39.987,10,0,102.155,160.736,5,164,0,1,1
8548,6,2,804,2,3,0,0,2.439,0,0,0,44.748,10,270,1,225.232,11,37,0,98.725,7,11.635,0.001,171.261,7,0,0,3.5,4,7.532,2,0,17.764,248.729,4,162,0,0,0
8565,4,16,733,1,4,28.239,9,0,1,0,0,94.964,27,241.743,10,174.482,29,86,0,12.337,5,0,7.149,250.505,5,0,0,10.755,6,62.655,15,0,63.634,196.96,4,148,0,0,0
8565,4,16,733,2,3,0,0,0,0,0,0,37.593,12,270,1,232.384,12,45,0,0,0,13.042,270,0,0,NA,NA,4.298,1,67.043,12,0,221.655,44.046,1,110,0,0,0
8572,6,3,804,1,4,54.745,15,0,0,0.502,1,112.655,34,215.225,16,156.775,34,241,0,104.194,6,2.027,49.377,116.418,6,90.562,21,99.985,12,0,0,32.059,4.006,165.986,12,49,0,10,2
8572,6,3,804,2,4,15.74,6,4.003,0,0,0,72.568,18,254.248,7,197.396,19,93,0,230.145,5,6.048,0.001,39.845,5,5.501,4,35.048,6,26.997,6,7.525,23.475,168.475,5,64,0,10,2
8575,4,8,774,1,6,38.795,9,0,0,0,0,79.377,32,231.187,10,190.559,33,168,0,60.297,8,13.621,21.319,188.369,8,18.257,7,21.241,4,39.009,9,1.487,45.288,203.464,4,104,0,4,1
8575,4,8,774,2,4,46.07,7,0,0,0,0,59.195,17,223.916,8,210.771,18,95,0,94.83,8,31.07,32.122,143.033,8,NA,NA,33.997,9,31.802,7,5.156,4.206,231.78,9,63,0,7,1
8587,4,13,588,1,1,67.84,15,0,1,0,0,88.623,27,202.131,15,181.13,28,144,0,23.896,3,15.655,48.358,197.741,3,0,0,8.196,3,6.249,2,3.172,37.423,224.376,3,104,0,0,0
8587,4,13,588,2,1,NA,NA,7.494,0,0,0,81.224,21,136.499,13,188.734,22,28,0,30.543,6,23.886,12.339,227.107,6,0,0,1.9,2,7.018,2,0,68.784,199.313,2,92,0,0,0
8590,4,10,784,1,2,23.744,8,0,5,0,0,99.316,36,246.24,9,167.118,40,137,0,33.195,5,3.529,4.379,232.417,5,0,0,3.739,3,3.249,1,0,48.091,218.165,3,159,0,0,0
8590,4,10,784,2,4,NA,NA,23.748,0,0,0,65.941,24,241.741,10,204.011,25,75,0,53.088,12,10.201,21.857,195.033,12,0,0,0.601,2,13.249,4,0,178.439,90.957,2,55,0,0,0
8596,6,14,810,1,4,26.547,7,0,0,0.899,1,142.037,31,243.439,8,127.001,32,214,0,20.452,7,7.391,3.939,245.596,7,0,0,7.246,5,23.603,6,0.354,116.159,146.586,5,77,0,0,0
8596,6,14,810,2,4,NA,NA,15.995,0,0,0,96.577,27,236.489,8,172.87,27,74,0,83.789,6,8.603,1.804,184.396,6,33.202,13,39.444,6,10.652,2,0,93.351,137.194,6,37,0,5,1
8612,4,9,781,1,5,46.14,13,0,5,0,0,131.56,41,223.835,13,132.361,46,168,0,39.192,9,14.807,6.809,223.982,9,13.66,7,6.248,4,6.002,2,0,67.926,195.819,4,73,0,3,1
8612,4,9,781,2,3,122.919,18,0,0,0,0,90.498,28,147.045,19,179.446,29,33,0,58.892,7,21.17,8.67,202.427,7,5.907,2,17.642,6,19.737,5,5.868,8.669,243.678,6,51,0,2,1
8620,4,7,774,1,2,65.636,18,0,2,0,0,137.809,33,204.328,19,129.62,35,157,0,7.793,5,10.117,24.867,237.331,5,57.192,17,110.292,14,9.748,3,1.886,17.887,141.794,14,34,0,9,1
8620,4,7,774,2,6,73.241,15,3.497,0,0,0,58.027,14,196.729,16,211.945,15,22,0,12.001,3,22.098,33.699,224.295,3,7.819,4,93.439,13,4.252,1,16.657,24.607,151.929,13,22,0,10,2
8623,6,11,775,1,3,50.98,13,0,0,0,0,122.171,39,218.994,14,147.751,40,143,0,41.637,4,19.708,168.765,59.591,4,90.025,25,116.032,12,6.25,1,16.318,26.617,127.328,12,29,0,10,2
8623,6,11,775,2,4,NA,NA,19.746,0,0,0,88.586,17,227.288,11,181.38,18,15,0,76.086,7,8.559,3.056,190.846,6,49.868,13,105.137,13,10.756,3,0,6.026,158.814,13,13,0,10,2
8641,4,4,739,1,6,26.482,8,0,0,0,0,86.663,33,243.502,9,183.272,33,107,0,23.74,7,12.628,9.378,236.869,7,3.004,2,4.449,4,34.996,8,0,3.812,261.732,4,188,0,3,1
8641,4,4,739,2,2,NA,NA,13.499,0,0,0,85.96,32,256.793,5,183.976,33,59,0,4.688,5,14.419,1.178,264.125,5,0,0,37.297,7,21.449,6,0,46.866,185.824,7,71,0,9,1
8646,4,11,781,1,4,35.044,11,0,1,0,0,114.3,35,234.935,12,154.878,37,139,0,13.08,4,5.217,7.089,249.824,4,3.242,2,6.292,4,8.545,2,8.756,6.609,257.092,4,125,0,1,1
8646,4,11,781,2,3,NA,NA,7.196,0,0,0,41.741,14,165.639,16,228.231,15,35,0,60.137,8,24.604,112.054,97.795,7,0,0,16.287,5,11.995,3,0.624,32.278,221.426,5,108,0,0,0
8653,6,4,728,1,4,58.296,16,0,3,4.989,3,89.853,27,211.673,16,169.341,34,221,0,145.5,6,8.564,25.254,99.235,6,0,0,5.949,5,29.209,8,5.548,45.75,217.341,5,148,0,0,0
8653,6,4,728,2,2,NA,NA,14.755,0,0,0,54.839,23,256.449,4,215.115,24,84,0,35.897,4,3.077,2.827,231.269,4,0,0,5.994,6,27.761,7,18.712,29.904,234.091,6,69,0,1,1
8670,4,5,743,1,5,65.989,9,0,0,0,0,107.132,28,203.993,10,162.814,27,73,0,10.593,5,9.132,9.833,249.565,5,21.896,9,15.996,6,15.744,4,0,57.005,200.888,4,81,0,2,1
8670,4,5,743,2,7,NA,NA,32.253,0,0,0,76.087,28,252.742,7,193.859,27,72,0,1.001,1,20.023,252.029,16.969,1,0,0,0.848,2,3.748,1,0,12.244,256.905,2,126,0,1,1
8672,6,8,813,1,5,61.296,13,0,2,0,0,88.456,30,208.678,14,179.232,30,245,0,84.846,6,2.441,15.843,169.3,6,67.914,16,63.925,5,27.948,8,17.25,23.399,182.667,5,47,0,8,1
8672,6,8,813,2,5,NA,NA,18.495,0,0,0,54.08,14,113.68,15,215.894,13,38,0,89.688,4,20.35,24.354,155.952,3,34.928,11,72.339,9,4.501,1,3.402,4.951,192.694,8,17,0,10,2
8696,4,14,743,1,2,57.857,10,0,8,0,0,132.624,32,212.123,11,128.053,40,216,0,35.383,6,7.211,20.067,214.539,6,22.659,10,65.243,8,0,0,62.244,2.945,201.797,8,71,0,8,1
8696,4,14,743,2,0,NA,NA,22.152,0,0,0,112.972,30,181.433,20,156.968,31,135,0,109.793,6,4.774,34.626,125.57,6,6.805,3,90.141,7,0,0,2.407,14.459,165.387,7,43,0,1,1
8706,4,6,588,1,2,40.102,11,0,5,0,0,90.668,41,229.876,12,175.499,47,186,0,10.296,4,5.785,1.435,258.262,4,11.845,4,58.043,15,8.552,2,6.154,2.653,204.926,15,113,0,10,2
8706,4,6,588,2,0,NA,NA,7.253,0,0,0,87.964,30,247.945,7,181.976,31,71,0,1.494,2,2.96,232.363,36.14,2,2.75,2,31.645,8,7.098,2,0,8.952,229.388,8,56,0,5,1
8712,4,3,746,1,5,50.288,15,0,2,8.498,2,81.908,31,219.682,16,177.53,35,192,0,12.843,4,3.003,3.755,253.395,4,0,0,1.905,2,23.499,6,0,115.328,152.764,2,97,0,0,0
8712,4,3,746,2,2,24.691,8,2.499,0,0,0,74.089,23,244.444,9,195.865,24,87,0,0,0,3.078,270,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8745,4,2,746,1,3,50.396,12,0,0,14.24,4,109.1,28,219.58,13,146.597,32,110,0,86.844,8,8.236,6.48,176.661,8,0,0,9.893,2,3.502,1,53.904,96.359,163.745,2,94,0,0,0
8745,4,2,746,2,3,NA,NA,7.003,0,3.997,1,58.481,12,223.474,13,207.497,13,28,0,79.048,5,52.796,112.7,78.243,5,6.746,3,95.455,7,7.253,2,27.384,34.583,139.949,7,6,0,8,1
8803,5,5,783,1,1,83.467,18,0,0,1.747,1,123.354,38,186.497,19,144.821,40,192,0,102.989,8,12.803,3.052,163.944,8,3.002,3,17.745,4,6.252,2,0,149.238,103.01,4,51,0,0,0
8803,5,5,783,2,3,NA,NA,6.903,0,0,0,86.112,27,171.581,17,183.835,27,28,0,27.393,3,20.853,5.206,236.046,3,20.493,8,109.35,6,18.892,4,6.284,28.289,132.35,6,5,0,10,2
8828,4,15,762,1,4,35.995,11,0,4,0,0,93.828,33,233.983,12,172.244,38,228,0,85.646,11,23.974,2.977,181.356,11,12.501,5,23.042,8,21.753,6,0.379,1.633,245.31,8,178,0,6,1
8828,4,15,762,2,3,NA,NA,13.501,0,6.493,3,92.793,24,145.57,20,170.661,27,92,0,120.347,8,57.17,3.921,145.717,8,32.197,9,127.065,10,4.251,1,135.455,32.154,71.168,9,8,1,10,2
8831,4,1,733,1,5,17.755,6,0,1,0,0,79.376,26,252.233,7,189.324,27,134,0,32.497,5,15.414,11.413,87872.761,5,0,0,2.394,2,24.76,7,0,23.224,244.379,2,137,0,0,0
8831,4,1,733,2,5,NA,NA,18.503,0,0,0,46.98,16,267.752,2,222.988,17,89,0,28.892,5,27.223,123.93,117.169,5,0,0,4.353,2,22.597,6,0,45.165,220.479,2,68,0,1,1
8938,4,12,784,1,3,11.601,5,0,0,0,0,108.172,36,258.389,6,161.756,37,197,0,24.391,6,24.362,26.713,218.885,6,74.76,20,95.744,8,0,0,83.373,3.119,171.122,8,16,0,10,2
8938,4,12,784,2,4,46.355,8,2.252,0,0,0,83.267,24,223.63,8,186.686,24,39,0,73.39,10,6.874,7.976,188.615,10,7.764,5,129.343,11,12.75,3,92.082,2.68,137.956,11,7,0,4,1
8971,6,6,806,1,3,77.298,16,0,9,2.502,1,95.229,29,192.67,17,162.557,38,266,0,32.651,5,6.933,8.835,228.505,5,2.255,2,21.795,5,6.497,2,0.358,2.203,245.993,5,162,0,0,0
8971,6,6,806,2,4,108.991,7,0,0,0,0,45.303,11,160.995,8,224.676,11,51,0,46.334,6,6.311,17.112,206.543,6,56.466,20,85.766,16,3.004,1,0.441,99.592,84.611,16,37,0,4,1
9,2,13,751,1,2,39.174,12,0,3,2.995,2,165.301,33,230.802,13,98.383,38,150,0,60.2,12,23.567,2.014,207.763,12,48.274,16,147.043,8,0,0,24.805,24.203,98.739,8,28,0,10,2
9,2,13,751,2,2,NA,NA,5.252,0,0,0,101.483,24,205.324,15,168.47,24,80,0,126.65,8,2.017,1.218,142.117,8,16.993,7,79.449,10,0,0,21.583,42.731,147.801,10,32,0,9,1
